,Unnamed: 0,date,store,category,product,unit_price,discount_pct,effective_price,demand,actual_sales,lost_sales,revenue,current_stock,reorder_point,reorder_qty,lead_time,is_promotion,stockout_flag
0,49320,2022-01-01,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,176,176,0,26400.0,646,270,0,7,0,0
1,49321,2022-01-02,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,214,214,0,32100.0,432,270,0,7,0,0
2,49322,2022-01-03,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,205,205,0,30750.0,2747,270,2520,7,0,0
3,49323,2022-01-04,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,185,185,0,27750.0,2562,270,0,7,0,0
4,49324,2022-01-05,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,252,252,0,37800.0,2310,270,0,7,0,0
5,49325,2022-01-06,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,181,181,0,27150.0,2129,270,0,7,0,0
6,49326,2022-01-07,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,119,119,0,17850.0,2010,270,0,7,0,0
7,49327,2022-01-08,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,180,180,0,27000.0,1830,270,0,7,0,0
8,49328,2022-01-09,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,196,196,0,29400.0,1634,270,0,7,0,0
9,49329,2022-01-10,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,181,181,0,27150.0,1453,270,0,7,0,0
10,49330,2022-01-11,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,216,216,0,32400.0,1237,270,0,7,0,0
11,49331,2022-01-12,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,186,186,0,27900.0,1051,270,0,7,0,0
12,49332,2022-01-13,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,216,216,0,32400.0,835,270,0,7,0,0
13,49333,2022-01-14,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,188,188,0,28200.0,647,270,0,7,0,0
14,49334,2022-01-15,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,143,143,0,21450.0,504,270,0,7,0,0
15,49335,2022-01-16,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.09,136.5,326,326,0,44499.0,2698,270,2520,7,1,0
16,49336,2022-01-17,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,183,183,0,27450.0,2515,270,0,7,0,0
17,49337,2022-01-18,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,189,189,0,28350.0,2326,270,0,7,0,0
18,49338,2022-01-19,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,166,166,0,24900.0,2160,270,0,7,0,0
19,49339,2022-01-20,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,180,180,0,27000.0,1980,270,0,7,0,0
20,49340,2022-01-21,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,209,209,0,31350.0,1771,270,0,7,0,0
21,49341,2022-01-22,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,248,248,0,37200.0,1523,270,0,7,0,0
22,49342,2022-01-23,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.2,120.0,306,306,0,36720.0,1217,270,0,7,1,0
23,49343,2022-01-24,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.2,120.0,240,240,0,28800.0,977,270,0,7,1,0
24,49344,2022-01-25,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.2,120.0,298,298,0,35760.0,679,270,0,7,1,0
25,49345,2022-01-26,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.2,120.0,280,280,0,33600.0,399,270,0,7,1,0
26,49346,2022-01-27,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.2,120.0,227,227,0,27240.0,2692,270,2520,7,1,0
27,49347,2022-01-28,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.2,120.0,193,193,0,23160.0,2499,270,0,7,1,0
28,49348,2022-01-29,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.2,120.0,401,401,0,48120.0,2098,270,0,7,1,0
29,49349,2022-01-30,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,253,253,0,37950.0,1845,270,0,7,0,0
30,49350,2022-01-31,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,151,151,0,22650.0,1694,270,0,7,0,0
31,49351,2022-02-01,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,201,201,0,30150.0,1493,270,0,7,0,0
32,49352,2022-02-02,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,170,170,0,25500.0,1323,270,0,7,0,0
33,49353,2022-02-03,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,228,228,0,34200.0,1095,270,0,7,0,0
34,49354,2022-02-04,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,183,183,0,27450.0,912,270,0,7,0,0
35,49355,2022-02-05,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,261,261,0,39150.0,651,270,0,7,0,0
36,49356,2022-02-06,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.05,142.5,267,267,0,38047.5,384,270,0,7,1,0
37,49357,2022-02-07,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,196,196,0,29400.0,2708,270,2520,7,0,0
38,49358,2022-02-08,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,181,181,0,27150.0,2527,270,0,7,0,0
39,49359,2022-02-09,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,125,125,0,18750.0,2402,270,0,7,0,0
40,49360,2022-02-10,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,220,220,0,33000.0,2182,270,0,7,0,0
41,49361,2022-02-11,Store_Bangalore,Grocery,Cooking Oil (1L),150.0,0.0,150.0,197,197,0,29550.0,1985,270,0,7,0,0
