,date,store,category,product,unit_price,discount_pct,effective_price,demand,actual_sales,lost_sales,revenue,current_stock,reorder_point,reorder_qty,lead_time,is_promotion,stockout_flag
0,2022-01-01,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,44,44,0,660000.0,484,37,450,9,0,0
1,2022-01-02,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,37,37,0,555000.0,447,37,0,9,0,0
2,2022-01-03,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,415,37,0,9,0,0
3,2022-01-04,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,387,37,0,9,0,0
4,2022-01-05,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,359,37,0,9,0,0
5,2022-01-06,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,329,37,0,9,0,0
6,2022-01-07,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,299,37,0,9,0,0
7,2022-01-08,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,42,42,0,630000.0,257,37,0,9,0,0
8,2022-01-09,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,41,41,0,615000.0,216,37,0,9,0,0
9,2022-01-10,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,186,37,0,9,0,0
10,2022-01-11,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,155,37,0,9,0,0
11,2022-01-12,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,123,37,0,9,0,0
12,2022-01-13,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,98,37,0,9,0,0
13,2022-01-14,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,40,40,0,600000.0,58,37,0,9,0,0
14,2022-01-15,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,40,40,0,600000.0,468,37,450,9,0,0
15,2022-01-16,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,43,43,0,645000.0,425,37,0,9,0,0
16,2022-01-17,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,394,37,0,9,0,0
17,2022-01-18,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,362,37,0,9,0,0
18,2022-01-19,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,329,37,0,9,0,0
19,2022-01-20,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,36,36,0,540000.0,293,37,0,9,0,0
20,2022-01-21,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,261,37,0,9,0,0
21,2022-01-22,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,40,40,0,600000.0,221,37,0,9,0,0
22,2022-01-23,Store_Delhi,Electronics,Smartphone,15000,0.2,12000.0,64,64,0,768000.0,157,37,0,9,1,0
23,2022-01-24,Store_Delhi,Electronics,Smartphone,15000,0.2,12000.0,38,38,0,456000.0,119,37,0,9,1,0
24,2022-01-25,Store_Delhi,Electronics,Smartphone,15000,0.2,12000.0,53,53,0,636000.0,66,37,0,9,1,0
25,2022-01-26,Store_Delhi,Electronics,Smartphone,15000,0.2,12000.0,48,48,0,576000.0,468,37,450,9,1,0
26,2022-01-27,Store_Delhi,Electronics,Smartphone,15000,0.2,12000.0,43,43,0,516000.0,425,37,0,9,1,0
27,2022-01-28,Store_Delhi,Electronics,Smartphone,15000,0.2,12000.0,38,38,0,456000.0,387,37,0,9,1,0
28,2022-01-29,Store_Delhi,Electronics,Smartphone,15000,0.2,12000.0,62,62,0,744000.0,325,37,0,9,1,0
29,2022-01-30,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,36,36,0,540000.0,289,37,0,9,0,0
30,2022-01-31,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,255,37,0,9,0,0
31,2022-02-01,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,235,37,0,9,0,0
32,2022-02-02,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,17,17,0,255000.0,218,37,0,9,0,0
33,2022-02-03,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,197,37,0,9,0,0
