,feature,importance
0,rolling_mean_14d,0.42110813
1,rolling_mean_7d,0.19282977
2,expanding_mean,0.18527798
3,is_promotion,0.06961674
4,lag_1d,0.026433263
5,day_of_week,0.024615634
6,discount_pct,0.016974114
7,rolling_mean_30d,0.015435187
8,unit_price,0.00891241
9,promo_x_weekend,0.007084354
10,week_of_year,0.0055552255
11,category_enc,0.0054064374
12,month,0.0047521004
13,day_of_year,0.0033083565
14,promo_lag1,0.0020893817
15,lag_14d,0.0018934807
16,product_enc,0.0015726116
17,day,0.0013898585
18,lag_7d,0.0013385742
19,rolling_std_7d,0.0008009991
20,rolling_std_14d,0.0007951339
21,lag_30d,0.00079414604
22,is_month_end,0.00072460325
23,store_enc,0.00068199576
24,year,0.00060949544
25,is_month_start,0.0
26,is_weekend,0.0
27,quarter,0.0
