,date,store,product,category,forecast_qty,unit_price,forecast_revenue,model
0,2025-01-01,Store_Bangalore,Cooking Oil (1L),Grocery,166.55,150.0,24982.08,RandomForest
1,2025-01-02,Store_Bangalore,Cooking Oil (1L),Grocery,167.45,150.0,25117.85,RandomForest
2,2025-01-03,Store_Bangalore,Cooking Oil (1L),Grocery,170.76,150.0,25613.84,RandomForest
3,2025-01-04,Store_Bangalore,Cooking Oil (1L),Grocery,220.35,150.0,33051.96,RandomForest
4,2025-01-05,Store_Bangalore,Cooking Oil (1L),Grocery,220.46,150.0,33069.68,RandomForest
5,2025-01-06,Store_Bangalore,Cooking Oil (1L),Grocery,173.38,150.0,26007.02,RandomForest
6,2025-01-07,Store_Bangalore,Cooking Oil (1L),Grocery,174.34,150.0,26151.46,RandomForest
7,2025-01-08,Store_Bangalore,Cooking Oil (1L),Grocery,174.51,150.0,26175.95,RandomForest
8,2025-01-09,Store_Bangalore,Cooking Oil (1L),Grocery,174.38,150.0,26156.63,RandomForest
9,2025-01-10,Store_Bangalore,Cooking Oil (1L),Grocery,175.09,150.0,26264.19,RandomForest
10,2025-01-11,Store_Bangalore,Cooking Oil (1L),Grocery,220.77,150.0,33115.18,RandomForest
11,2025-01-12,Store_Bangalore,Cooking Oil (1L),Grocery,220.73,150.0,33109.28,RandomForest
12,2025-01-13,Store_Bangalore,Cooking Oil (1L),Grocery,174.52,150.0,26177.5,RandomForest
13,2025-01-14,Store_Bangalore,Cooking Oil (1L),Grocery,175.38,150.0,26306.83,RandomForest
14,2025-01-15,Store_Bangalore,Cooking Oil (1L),Grocery,175.38,150.0,26306.83,RandomForest
15,2025-01-16,Store_Bangalore,Cooking Oil (1L),Grocery,175.25,150.0,26287.52,RandomForest
16,2025-01-17,Store_Bangalore,Cooking Oil (1L),Grocery,175.25,150.0,26287.52,RandomForest
17,2025-01-18,Store_Bangalore,Cooking Oil (1L),Grocery,220.92,150.0,33138.51,RandomForest
18,2025-01-19,Store_Bangalore,Cooking Oil (1L),Grocery,220.88,150.0,33132.61,RandomForest
19,2025-01-20,Store_Bangalore,Cooking Oil (1L),Grocery,174.52,150.0,26177.5,RandomForest
20,2025-01-21,Store_Bangalore,Cooking Oil (1L),Grocery,175.23,150.0,26284.93,RandomForest
21,2025-01-22,Store_Bangalore,Cooking Oil (1L),Grocery,175.23,150.0,26284.93,RandomForest
22,2025-01-23,Store_Bangalore,Cooking Oil (1L),Grocery,175.1,150.0,26265.62,RandomForest
23,2025-01-24,Store_Bangalore,Cooking Oil (1L),Grocery,175.1,150.0,26265.62,RandomForest
24,2025-01-25,Store_Bangalore,Cooking Oil (1L),Grocery,221.51,150.0,33227.21,RandomForest
25,2025-01-26,Store_Bangalore,Cooking Oil (1L),Grocery,221.64,150.0,33245.42,RandomForest
26,2025-01-27,Store_Bangalore,Cooking Oil (1L),Grocery,174.37,150.0,26155.61,RandomForest
27,2025-01-28,Store_Bangalore,Cooking Oil (1L),Grocery,175.23,150.0,26284.93,RandomForest
28,2025-01-29,Store_Bangalore,Cooking Oil (1L),Grocery,175.23,150.0,26284.93,RandomForest
29,2025-01-30,Store_Bangalore,Cooking Oil (1L),Grocery,167.27,150.0,25089.92,RandomForest
30,2025-01-01,Store_Bangalore,Dal (1kg),Grocery,253.23,120.0,30387.12,RandomForest
31,2025-01-02,Store_Bangalore,Dal (1kg),Grocery,249.68,120.0,29961.02,RandomForest
32,2025-01-03,Store_Bangalore,Dal (1kg),Grocery,255.19,120.0,30623.36,RandomForest
33,2025-01-04,Store_Bangalore,Dal (1kg),Grocery,339.3,120.0,40715.84,RandomForest
34,2025-01-05,Store_Bangalore,Dal (1kg),Grocery,346.68,120.0,41601.87,RandomForest
35,2025-01-06,Store_Bangalore,Dal (1kg),Grocery,257.26,120.0,30871.39,RandomForest
36,2025-01-07,Store_Bangalore,Dal (1kg),Grocery,255.01,120.0,30600.65,RandomForest
37,2025-01-08,Store_Bangalore,Dal (1kg),Grocery,255.18,120.0,30621.63,RandomForest
38,2025-01-09,Store_Bangalore,Dal (1kg),Grocery,258.81,120.0,31056.82,RandomForest
39,2025-01-10,Store_Bangalore,Dal (1kg),Grocery,261.27,120.0,31352.24,RandomForest
40,2025-01-11,Store_Bangalore,Dal (1kg),Grocery,339.75,120.0,40769.73,RandomForest
41,2025-01-12,Store_Bangalore,Dal (1kg),Grocery,346.97,120.0,41636.86,RandomForest
42,2025-01-13,Store_Bangalore,Dal (1kg),Grocery,262.79,120.0,31535.06,RandomForest
43,2025-01-14,Store_Bangalore,Dal (1kg),Grocery,266.66,120.0,31999.25,RandomForest
44,2025-01-15,Store_Bangalore,Dal (1kg),Grocery,266.66,120.0,31999.25,RandomForest
45,2025-01-16,Store_Bangalore,Dal (1kg),Grocery,265.91,120.0,31908.79,RandomForest
46,2025-01-17,Store_Bangalore,Dal (1kg),Grocery,265.91,120.0,31908.79,RandomForest
47,2025-01-18,Store_Bangalore,Dal (1kg),Grocery,342.87,120.0,41144.18,RandomForest
48,2025-01-19,Store_Bangalore,Dal (1kg),Grocery,350.09,120.0,42011.31,RandomForest
49,2025-01-20,Store_Bangalore,Dal (1kg),Grocery,267.43,120.0,32092.02,RandomForest
50,2025-01-21,Store_Bangalore,Dal (1kg),Grocery,267.57,120.0,32108.39,RandomForest
51,2025-01-22,Store_Bangalore,Dal (1kg),Grocery,267.57,120.0,32108.39,RandomForest
52,2025-01-23,Store_Bangalore,Dal (1kg),Grocery,265.69,120.0,31883.32,RandomForest
53,2025-01-24,Store_Bangalore,Dal (1kg),Grocery,265.69,120.0,31883.32,RandomForest
54,2025-01-25,Store_Bangalore,Dal (1kg),Grocery,349.44,120.0,41932.9,RandomForest
55,2025-01-26,Store_Bangalore,Dal (1kg),Grocery,351.41,120.0,42169.79,RandomForest
56,2025-01-27,Store_Bangalore,Dal (1kg),Grocery,267.22,120.0,32066.55,RandomForest
57,2025-01-28,Store_Bangalore,Dal (1kg),Grocery,267.57,120.0,32108.39,RandomForest
58,2025-01-29,Store_Bangalore,Dal (1kg),Grocery,266.66,120.0,31998.99,RandomForest
59,2025-01-30,Store_Bangalore,Dal (1kg),Grocery,251.65,120.0,30197.83,RandomForest
60,2025-01-01,Store_Bangalore,Earbuds,Electronics,79.28,2500.0,198203.72,RandomForest
61,2025-01-02,Store_Bangalore,Earbuds,Electronics,80.19,2500.0,200466.56,RandomForest
62,2025-01-03,Store_Bangalore,Earbuds,Electronics,87.61,2500.0,219027.1,RandomForest
63,2025-01-04,Store_Bangalore,Earbuds,Electronics,124.99,2500.0,312480.7,RandomForest
64,2025-01-05,Store_Bangalore,Earbuds,Electronics,123.58,2500.0,308947.73,RandomForest
65,2025-01-06,Store_Bangalore,Earbuds,Electronics,101.33,2500.0,253331.41,RandomForest
66,2025-01-07,Store_Bangalore,Earbuds,Electronics,105.0,2500.0,262500.93,RandomForest
67,2025-01-08,Store_Bangalore,Earbuds,Electronics,105.16,2500.0,262909.01,RandomForest
68,2025-01-09,Store_Bangalore,Earbuds,Electronics,105.03,2500.0,262587.15,RandomForest
69,2025-01-10,Store_Bangalore,Earbuds,Electronics,106.06,2500.0,265139.35,RandomForest
70,2025-01-11,Store_Bangalore,Earbuds,Electronics,129.87,2500.0,324683.15,RandomForest
71,2025-01-12,Store_Bangalore,Earbuds,Electronics,128.0,2500.0,320002.9,RandomForest
72,2025-01-13,Store_Bangalore,Earbuds,Electronics,103.82,2500.0,259553.15,RandomForest
73,2025-01-14,Store_Bangalore,Earbuds,Electronics,106.34,2500.0,265849.99,RandomForest
74,2025-01-15,Store_Bangalore,Earbuds,Electronics,106.34,2500.0,265849.99,RandomForest
75,2025-01-16,Store_Bangalore,Earbuds,Electronics,106.21,2500.0,265528.13,RandomForest
76,2025-01-17,Store_Bangalore,Earbuds,Electronics,106.21,2500.0,265528.13,RandomForest
77,2025-01-18,Store_Bangalore,Earbuds,Electronics,130.42,2500.0,326046.68,RandomForest
78,2025-01-19,Store_Bangalore,Earbuds,Electronics,129.57,2500.0,323914.79,RandomForest
79,2025-01-20,Store_Bangalore,Earbuds,Electronics,104.21,2500.0,260527.88,RandomForest
80,2025-01-21,Store_Bangalore,Earbuds,Electronics,107.79,2500.0,269469.81,RandomForest
81,2025-01-22,Store_Bangalore,Earbuds,Electronics,107.79,2500.0,269469.81,RandomForest
82,2025-01-23,Store_Bangalore,Earbuds,Electronics,107.66,2500.0,269147.95,RandomForest
83,2025-01-24,Store_Bangalore,Earbuds,Electronics,107.66,2500.0,269147.95,RandomForest
84,2025-01-25,Store_Bangalore,Earbuds,Electronics,131.93,2500.0,329817.66,RandomForest
85,2025-01-26,Store_Bangalore,Earbuds,Electronics,130.22,2500.0,325539.25,RandomForest
86,2025-01-27,Store_Bangalore,Earbuds,Electronics,104.25,2500.0,260624.62,RandomForest
87,2025-01-28,Store_Bangalore,Earbuds,Electronics,107.64,2500.0,269107.86,RandomForest
88,2025-01-29,Store_Bangalore,Earbuds,Electronics,107.64,2500.0,269107.86,RandomForest
89,2025-01-30,Store_Bangalore,Earbuds,Electronics,99.68,2500.0,249190.85,RandomForest
90,2025-01-01,Store_Bangalore,Face Wash,Personal Care,159.3,120.0,19116.37,RandomForest
91,2025-01-02,Store_Bangalore,Face Wash,Personal Care,160.21,120.0,19224.98,RandomForest
92,2025-01-03,Store_Bangalore,Face Wash,Personal Care,162.45,120.0,19493.49,RandomForest
93,2025-01-04,Store_Bangalore,Face Wash,Personal Care,204.84,120.0,24580.35,RandomForest
94,2025-01-05,Store_Bangalore,Face Wash,Personal Care,204.0,120.0,24480.36,RandomForest
95,2025-01-06,Store_Bangalore,Face Wash,Personal Care,167.3,120.0,20076.31,RandomForest
96,2025-01-07,Store_Bangalore,Face Wash,Personal Care,169.31,120.0,20316.76,RandomForest
97,2025-01-08,Store_Bangalore,Face Wash,Personal Care,169.47,120.0,20336.35,RandomForest
98,2025-01-09,Store_Bangalore,Face Wash,Personal Care,169.34,120.0,20320.9,RandomForest
99,2025-01-10,Store_Bangalore,Face Wash,Personal Care,170.36,120.0,20443.4,RandomForest
100,2025-01-11,Store_Bangalore,Face Wash,Personal Care,205.26,120.0,24630.93,RandomForest
101,2025-01-12,Store_Bangalore,Face Wash,Personal Care,204.27,120.0,24512.03,RandomForest
102,2025-01-13,Store_Bangalore,Face Wash,Personal Care,168.74,120.0,20249.16,RandomForest
103,2025-01-14,Store_Bangalore,Face Wash,Personal Care,170.65,120.0,20477.51,RandomForest
104,2025-01-15,Store_Bangalore,Face Wash,Personal Care,170.65,120.0,20477.51,RandomForest
105,2025-01-16,Store_Bangalore,Face Wash,Personal Care,170.94,120.0,20512.51,RandomForest
106,2025-01-17,Store_Bangalore,Face Wash,Personal Care,170.94,120.0,20512.51,RandomForest
107,2025-01-18,Store_Bangalore,Face Wash,Personal Care,206.22,120.0,24746.82,RandomForest
108,2025-01-19,Store_Bangalore,Face Wash,Personal Care,205.23,120.0,24627.93,RandomForest
109,2025-01-20,Store_Bangalore,Face Wash,Personal Care,169.55,120.0,20346.39,RandomForest
110,2025-01-21,Store_Bangalore,Face Wash,Personal Care,171.57,120.0,20588.02,RandomForest
111,2025-01-22,Store_Bangalore,Face Wash,Personal Care,171.57,120.0,20588.02,RandomForest
112,2025-01-23,Store_Bangalore,Face Wash,Personal Care,171.44,120.0,20572.57,RandomForest
113,2025-01-24,Store_Bangalore,Face Wash,Personal Care,171.44,120.0,20572.57,RandomForest
114,2025-01-25,Store_Bangalore,Face Wash,Personal Care,207.07,120.0,24848.57,RandomForest
115,2025-01-26,Store_Bangalore,Face Wash,Personal Care,206.24,120.0,24748.96,RandomForest
116,2025-01-27,Store_Bangalore,Face Wash,Personal Care,169.66,120.0,20359.66,RandomForest
117,2025-01-28,Store_Bangalore,Face Wash,Personal Care,171.57,120.0,20588.02,RandomForest
118,2025-01-29,Store_Bangalore,Face Wash,Personal Care,170.66,120.0,20478.62,RandomForest
119,2025-01-30,Store_Bangalore,Face Wash,Personal Care,161.36,120.0,19363.61,RandomForest
120,2025-01-01,Store_Bangalore,Kids Jeans,Clothing,52.0,799.0,41550.96,RandomForest
121,2025-01-02,Store_Bangalore,Kids Jeans,Clothing,52.96,799.0,42317.47,RandomForest
122,2025-01-03,Store_Bangalore,Kids Jeans,Clothing,52.96,799.0,42317.47,RandomForest
123,2025-01-04,Store_Bangalore,Kids Jeans,Clothing,66.45,799.0,53095.55,RandomForest
124,2025-01-05,Store_Bangalore,Kids Jeans,Clothing,65.84,799.0,52603.66,RandomForest
125,2025-01-06,Store_Bangalore,Kids Jeans,Clothing,53.6,799.0,42827.31,RandomForest
126,2025-01-07,Store_Bangalore,Kids Jeans,Clothing,55.03,799.0,43967.58,RandomForest
127,2025-01-08,Store_Bangalore,Kids Jeans,Clothing,55.19,799.0,44098.0,RandomForest
128,2025-01-09,Store_Bangalore,Kids Jeans,Clothing,55.06,799.0,43995.13,RandomForest
129,2025-01-10,Store_Bangalore,Kids Jeans,Clothing,55.5,799.0,44342.74,RandomForest
130,2025-01-11,Store_Bangalore,Kids Jeans,Clothing,67.47,799.0,53911.69,RandomForest
131,2025-01-12,Store_Bangalore,Kids Jeans,Clothing,66.7,799.0,53293.97,RandomForest
132,2025-01-13,Store_Bangalore,Kids Jeans,Clothing,54.46,799.0,43510.1,RandomForest
133,2025-01-14,Store_Bangalore,Kids Jeans,Clothing,55.78,799.0,44569.86,RandomForest
134,2025-01-15,Store_Bangalore,Kids Jeans,Clothing,55.68,799.0,44490.33,RandomForest
135,2025-01-16,Store_Bangalore,Kids Jeans,Clothing,55.55,799.0,44387.46,RandomForest
136,2025-01-17,Store_Bangalore,Kids Jeans,Clothing,55.55,799.0,44387.46,RandomForest
137,2025-01-18,Store_Bangalore,Kids Jeans,Clothing,67.53,799.0,53956.41,RandomForest
138,2025-01-19,Store_Bangalore,Kids Jeans,Clothing,66.76,799.0,53338.69,RandomForest
139,2025-01-20,Store_Bangalore,Kids Jeans,Clothing,54.36,799.0,43430.56,RandomForest
140,2025-01-21,Store_Bangalore,Kids Jeans,Clothing,55.72,799.0,44521.25,RandomForest
141,2025-01-22,Store_Bangalore,Kids Jeans,Clothing,55.72,799.0,44521.25,RandomForest
142,2025-01-23,Store_Bangalore,Kids Jeans,Clothing,55.59,799.0,44418.38,RandomForest
143,2025-01-24,Store_Bangalore,Kids Jeans,Clothing,55.59,799.0,44418.38,RandomForest
144,2025-01-25,Store_Bangalore,Kids Jeans,Clothing,67.57,799.0,53990.42,RandomForest
145,2025-01-26,Store_Bangalore,Kids Jeans,Clothing,66.96,799.0,53501.11,RandomForest
146,2025-01-27,Store_Bangalore,Kids Jeans,Clothing,54.39,799.0,43461.48,RandomForest
147,2025-01-28,Store_Bangalore,Kids Jeans,Clothing,55.42,799.0,44282.18,RandomForest
148,2025-01-29,Store_Bangalore,Kids Jeans,Clothing,54.35,799.0,43426.69,RandomForest
149,2025-01-30,Store_Bangalore,Kids Jeans,Clothing,50.33,799.0,40214.3,RandomForest
150,2025-01-01,Store_Bangalore,Laptop,Electronics,15.97,45000.0,718612.72,RandomForest
151,2025-01-02,Store_Bangalore,Laptop,Electronics,16.91,45000.0,760977.2,RandomForest
152,2025-01-03,Store_Bangalore,Laptop,Electronics,17.49,45000.0,786854.38,RandomForest
153,2025-01-04,Store_Bangalore,Laptop,Electronics,24.84,45000.0,1117790.74,RandomForest
154,2025-01-05,Store_Bangalore,Laptop,Electronics,24.53,45000.0,1103649.36,RandomForest
155,2025-01-06,Store_Bangalore,Laptop,Electronics,19.84,45000.0,892582.68,RandomForest
156,2025-01-07,Store_Bangalore,Laptop,Electronics,20.64,45000.0,928696.2,RandomForest
157,2025-01-08,Store_Bangalore,Laptop,Electronics,20.8,45000.0,936041.68,RandomForest
158,2025-01-09,Store_Bangalore,Laptop,Electronics,20.8,45000.0,936041.68,RandomForest
159,2025-01-10,Store_Bangalore,Laptop,Electronics,21.24,45000.0,955619.14,RandomForest
160,2025-01-11,Store_Bangalore,Laptop,Electronics,27.08,45000.0,1218457.43,RandomForest
161,2025-01-12,Store_Bangalore,Laptop,Electronics,26.3,45000.0,1183666.48,RandomForest
162,2025-01-13,Store_Bangalore,Laptop,Electronics,20.84,45000.0,937926.52,RandomForest
163,2025-01-14,Store_Bangalore,Laptop,Electronics,21.39,45000.0,962617.35,RandomForest
164,2025-01-15,Store_Bangalore,Laptop,Electronics,21.39,45000.0,962617.35,RandomForest
165,2025-01-16,Store_Bangalore,Laptop,Electronics,21.39,45000.0,962617.35,RandomForest
166,2025-01-17,Store_Bangalore,Laptop,Electronics,21.39,45000.0,962617.35,RandomForest
167,2025-01-18,Store_Bangalore,Laptop,Electronics,27.23,45000.0,1225455.64,RandomForest
168,2025-01-19,Store_Bangalore,Laptop,Electronics,26.46,45000.0,1190664.68,RandomForest
169,2025-01-20,Store_Bangalore,Laptop,Electronics,20.84,45000.0,937926.52,RandomForest
170,2025-01-21,Store_Bangalore,Laptop,Electronics,21.43,45000.0,964358.85,RandomForest
171,2025-01-22,Store_Bangalore,Laptop,Electronics,21.43,45000.0,964358.85,RandomForest
172,2025-01-23,Store_Bangalore,Laptop,Electronics,21.34,45000.0,960343.01,RandomForest
173,2025-01-24,Store_Bangalore,Laptop,Electronics,21.34,45000.0,960343.01,RandomForest
174,2025-01-25,Store_Bangalore,Laptop,Electronics,27.19,45000.0,1223355.36,RandomForest
175,2025-01-26,Store_Bangalore,Laptop,Electronics,26.57,45000.0,1195797.01,RandomForest
176,2025-01-27,Store_Bangalore,Laptop,Electronics,20.79,45000.0,935652.18,RandomForest
177,2025-01-28,Store_Bangalore,Laptop,Electronics,21.2,45000.0,953827.69,RandomForest
178,2025-01-29,Store_Bangalore,Laptop,Electronics,21.2,45000.0,953827.69,RandomForest
179,2025-01-30,Store_Bangalore,Laptop,Electronics,17.66,45000.0,794763.34,RandomForest
180,2025-01-01,Store_Bangalore,Men T-Shirt,Clothing,91.02,599.0,54518.72,RandomForest
181,2025-01-02,Store_Bangalore,Men T-Shirt,Clothing,91.92,599.0,55060.89,RandomForest
182,2025-01-03,Store_Bangalore,Men T-Shirt,Clothing,91.92,599.0,55060.89,RandomForest
183,2025-01-04,Store_Bangalore,Men T-Shirt,Clothing,116.04,599.0,69509.15,RandomForest
184,2025-01-05,Store_Bangalore,Men T-Shirt,Clothing,115.13,599.0,68961.6,RandomForest
185,2025-01-06,Store_Bangalore,Men T-Shirt,Clothing,92.29,599.0,55284.19,RandomForest
186,2025-01-07,Store_Bangalore,Men T-Shirt,Clothing,93.39,599.0,55938.56,RandomForest
187,2025-01-08,Store_Bangalore,Men T-Shirt,Clothing,93.55,599.0,56036.33,RandomForest
188,2025-01-09,Store_Bangalore,Men T-Shirt,Clothing,93.42,599.0,55959.21,RandomForest
189,2025-01-10,Store_Bangalore,Men T-Shirt,Clothing,93.86,599.0,56219.81,RandomForest
190,2025-01-11,Store_Bangalore,Men T-Shirt,Clothing,116.2,599.0,69604.58,RandomForest
191,2025-01-12,Store_Bangalore,Men T-Shirt,Clothing,115.13,599.0,68962.69,RandomForest
192,2025-01-13,Store_Bangalore,Men T-Shirt,Clothing,92.89,599.0,55639.03,RandomForest
193,2025-01-14,Store_Bangalore,Men T-Shirt,Clothing,93.88,599.0,56233.04,RandomForest
194,2025-01-15,Store_Bangalore,Men T-Shirt,Clothing,93.88,599.0,56233.04,RandomForest
195,2025-01-16,Store_Bangalore,Men T-Shirt,Clothing,93.75,599.0,56155.93,RandomForest
196,2025-01-17,Store_Bangalore,Men T-Shirt,Clothing,93.75,599.0,56155.93,RandomForest
197,2025-01-18,Store_Bangalore,Men T-Shirt,Clothing,116.36,599.0,69697.73,RandomForest
198,2025-01-19,Store_Bangalore,Men T-Shirt,Clothing,115.29,599.0,69055.84,RandomForest
199,2025-01-20,Store_Bangalore,Men T-Shirt,Clothing,92.89,599.0,55639.03,RandomForest
200,2025-01-21,Store_Bangalore,Men T-Shirt,Clothing,93.92,599.0,56256.22,RandomForest
201,2025-01-22,Store_Bangalore,Men T-Shirt,Clothing,93.92,599.0,56256.22,RandomForest
