,store,product,category,avg_daily_demand,std_daily_demand,total_units_sold,total_revenue,unit_price,current_stock,stockout_count,total_days,stockout_rate_%,forecast_avg_daily,safety_stock,reorder_point,eoq,days_of_stock,stockout_risk,overstock_flag,low_stock_flag,risk_level,holding_cost_daily,recommended_order,abc_class,abc_score,risk_score,priority_score
0,Store_Delhi,Earbuds,Electronics,87.76,42.73,96187,215602895.0,2500.0,563,26,1096,2.37,132.265,186.54,800.87,71.59,6.4,True,False,False, HIGH - REORDER NOW,964.04,72.0,A,3,3,6
1,Store_Mumbai,Laptop,Electronics,14.43,6.73,15814,328478345.0,45000.0,35,22,1096,2.01,22.278333333333332,29.37,130.37,6.84,2.4,True,False,False, HIGH - REORDER NOW,1078.77,7.0,A,3,3,6
2,Store_Hyderabad,Mixer Grinder,Home & Kitchen,25.56,8.83,28018,93420495.0,3500.0,187,4,1096,0.36,26.884,38.56,217.51,32.66,7.3,True,False,False, HIGH - REORDER NOW,448.29,33.0,A,3,3,6
3,Store_Hyderabad,Laptop,Electronics,14.64,6.91,16048,328348615.0,45000.0,71,28,1096,2.55,22.865333333333336,30.17,132.67,6.89,4.8,True,False,False, HIGH - REORDER NOW,2188.36,7.0,A,3,3,6
4,Store_Hyderabad,Earbuds,Electronics,87.18,41.15,95554,215593710.0,2500.0,457,19,1096,1.73,127.94699999999999,179.62,789.91,71.36,5.2,True,False,False, HIGH - REORDER NOW,782.53,71.0,A,3,3,6
5,Store_Chennai,Earbuds,Electronics,86.8,40.83,95134,214926785.0,2500.0,169,17,1096,1.55,121.06966666666668,178.23,785.84,71.2,1.9,True,False,True, HIGH - REORDER NOW,289.38,71.0,A,3,3,6
6,Store_Hyderabad,Smartphone,Electronics,36.55,16.88,40061,327469020.0,15000.0,204,21,1096,1.92,48.99133333333334,73.7,329.56,18.86,5.6,True,False,False, HIGH - REORDER NOW,2095.89,19.0,A,3,3,6
7,Store_Hyderabad,Sports Shoes,Clothing,55.72,21.82,61064,116241370.24,1999.0,92,12,1096,1.09,46.46333333333334,95.26,485.27,63.79,1.7,True,False,True, HIGH - REORDER NOW,125.96,64.0,A,3,3,6
8,Store_Chennai,Smartphone,Electronics,36.73,17.76,40254,327604725.0,15000.0,246,12,1096,1.09,55.86666666666667,77.55,334.65,18.91,6.7,True,False,False, HIGH - REORDER NOW,2527.4,19.0,A,3,3,6
9,Store_Chennai,Sports Shoes,Clothing,55.29,21.84,60597,115385078.6,1999.0,285,19,1096,1.73,49.79666666666667,95.35,482.37,63.55,5.2,True,False,False, HIGH - REORDER NOW,390.22,64.0,A,3,3,6
10,Store_Bangalore,Sports Shoes,Clothing,55.57,22.29,60904,115923989.01,1999.0,378,10,1096,0.91,50.202666666666666,97.33,486.32,63.71,6.8,True,False,False, HIGH - REORDER NOW,517.55,64.0,A,3,3,6
11,Store_Bangalore,Smartphone,Electronics,36.72,17.89,40248,326933250.0,15000.0,250,16,1096,1.46,52.867,78.1,335.16,18.91,6.8,True,False,False, HIGH - REORDER NOW,2568.49,19.0,A,3,3,6
